,PERMNO,TICKER,DLSTCD,bankrupt,date,year,quarter
0,10000,OMFGA,560.0,0,1987-06-30,1987,2
1,10001,EGAS,233.0,0,2017-08-31,2017,3
2,10002,BTFG,231.0,0,2013-02-28,2013,1
3,10003,GCBK,231.0,0,1995-12-29,1995,4
4,10005,WERC,560.0,0,1991-07-31,1991,3
5,10007,SHRD,560.0,0,1990-10-31,1990,4
6,10008,GACO,551.0,0,1988-11-30,1988,4
7,10009,IROQ,233.0,0,2000-11-30,2000,4
8,10010,CBOT,231.0,0,1995-08-31,1995,3
9,10011,ATCS,233.0,0,1998-02-27,1998,1
10,10012,DPAC,552.0,0,2005-08-31,2005,3
11,10013,AAPI,570.0,0,1987-06-30,1987,2
12,10015,AMFD,231.0,0,1986-07-31,1986,3
13,10016,SCTT,231.0,0,2001-05-31,2001,2
14,10017,CCUR,233.0,0,1988-09-30,1988,3
15,10018,DCIS,552.0,0,1995-11-30,1995,4
16,10019,IFRS,233.0,0,2002-06-28,2002,2
17,10020,KEYC,231.0,0,1993-04-30,1993,2
18,10021,BIRI,231.0,0,1995-12-29,1995,4
19,10024,DOCX,561.0,0,1992-05-29,1992,2
20,10025,AEPI,241.0,0,2017-01-31,2017,1
21,10026,JJSF,100.0,0,2019-12-31,2019,4
22,10027,TNII,233.0,0,1990-03-30,1990,1
23,10028,ELA,100.0,0,2019-12-31,2019,4
24,10029,AIF,233.0,0,1990-08-31,1990,3
25,10031,ANTQ,580.0,0,1989-08-31,1989,3
26,10032,PLXS,100.0,0,2019-12-31,2019,4
27,10033,MABK,341.0,0,1986-11-28,1986,4
28,10034,HCSB,241.0,0,1991-09-30,1991,3
29,10035,GGUY,233.0,0,2003-12-31,2003,4
30,10036,NURO,561.0,0,1991-03-28,1991,1
31,10037,FBCP,233.0,0,2004-05-28,2004,2
32,10038,POCI,560.0,0,1991-01-31,1991,1
33,10039,ATCM,580.0,0,2001-06-29,2001,2
34,10040,HARVY,580.0,0,1989-06-30,1989,2
